"field_id","fp_id","lab_no","harvest","fb","fb_sample","db_sample","db_p","db"
"g1",101,331,"H1",0.049,0.028,0.013,45.29,0.022
"g1",102,331,"H1",0.424,0.108,0.036,33.08,0.14
"g1",103,331,"H1",0.262,0.074,0.029,38.68,0.101
"g1",104,331,"H1",0.41,0.084,0.029,34.02,0.139
"g1",105,331,"H1",0.153,0.071,0.026,37.08,0.057
"g1",106,331,"H1",0.289,0.119,0.044,36.76,0.106
"g1",107,331,"H1",0.353,0.085,0.033,38.92,0.137
"g1",108,331,"H1",0.29,0.103,0.041,40.2,0.117
"g1",109,331,"H1",0.119,0.059,0.024,41.51,0.049
"g1",110,331,"H1",0.373,0.106,0.04,37.36,0.139
"g1",111,331,"H1",0.558,0.143,0.052,36.27,0.202
"g1",112,331,"H1",0.413,0.104,0.038,36.33,0.15
"g1",113,331,"H1",0.52,0.19,0.078,41.18,0.214
"g1",114,331,"H1",0.437,0.131,0.047,35.96,0.157
"g1",115,331,"H1",0.823,0.136,0.049,35.86,0.295
"g1",116,331,"H1",0.306,0.122,0.045,37.22,0.114
"g1",117,331,"H1",0.232,0.092,0.039,42.08,0.098
"g1",118,331,"H1",0.562,0.161,0.061,37.69,0.212
"g1",119,331,"H1",0.708,0.154,0.049,31.55,0.223
"g1",120,331,"H1",0.341,0.1,0.036,36.1,0.123
"g2",201,331,"H1",0.128,0.046,0.021,45.13,0.058
"g2",202,331,"H1",0.011,0.011,0.006,55.82,0.006
"g2",203,331,"H1",0.04,0.016,0.009,59,0.024
"g2",204,331,"H1",0.093,0.034,0.016,47.88,0.045
"g2",205,331,"H1",0.109,0.051,0.025,48.29,0.053
"g2",206,331,"H1",0.063,0.03,0.016,52,0.033
"g2",207,331,"H1",0.133,0.063,0.029,46.62,0.062
"g2",208,331,"H1",0.016,0.008,0.004,49.5,0.008
"g2",209,331,"H1",0.038,0.017,0.01,56.53,0.021
"g2",210,331,"H1",0.047,0.018,0.009,48,0.023
"g2",211,331,"H1",0.031,0.009,0.005,55.89,0.017
"g2",212,331,"H1",0.049,0.023,0.013,55.35,0.027
"g2",213,331,"H1",0.033,0.014,0.007,51.57,0.017
"g2",214,331,"H1",0.046,0.024,0.011,46.79,0.022
"g2",215,331,"H1",0.023,0.011,0.006,57,0.013
"g2",216,331,"H1",0.055,0.021,0.01,49.76,0.027
"g2",217,331,"H1",0.031,0.012,0.007,54.75,0.017
"g2",218,331,"H1",0.104,0.056,0.029,51.14,0.053
"g2",219,331,"H1",0.057,0.02,0.01,51.45,0.029
"g2",220,331,"H1",0.103,0.045,0.023,51.8,0.053
"g3",301,331,"H1",1.43,0.288,0.087,30.21,0.432
"g3",302,331,"H1",1.239,0.296,0.083,28.19,0.349
"g3",303,331,"H1",0.963,0.289,0.096,33.32,0.321
"g3",304,331,"H1",0.964,0.286,0.079,27.59,0.266
"g3",305,331,"H1",1.114,0.301,0.084,27.97,0.312
"g3",306,331,"H1",1.037,0.346,0.118,34.1,0.354
"g3",307,331,"H1",0.836,0.327,0.096,29.46,0.246
"g3",308,331,"H1",1.056,0.341,0.109,31.85,0.336
"g3",309,331,"H1",0.957,0.322,0.105,32.49,0.311
"g3",310,331,"H1",0.684,0.339,0.108,31.86,0.218
"g3",311,331,"H1",0.911,0.289,0.091,31.36,0.286
"g3",312,331,"H1",1.2,0.347,0.098,28.16,0.338
"g3",313,331,"H1",0.877,0.312,0.097,31.05,0.272
"g3",314,331,"H1",0.809,0.383,0.125,32.7,0.265
"g3",315,331,"H1",0.422,0.223,0.072,32.49,0.137
"g3",316,331,"H1",0.561,0.277,0.093,33.75,0.189
"g3",317,331,"H1",0.408,0.184,0.06,32.46,0.132
"g3",318,331,"H1",0.564,0.315,0.095,30.04,0.169
"g3",319,331,"H1",0.392,0.151,0.043,28.25,0.111
"g3",320,331,"H1",0.385,0.187,0.059,31.35,0.121
"g3",321,331,"H2",0.199,0.104,0.043,40.9,0.081
"g3",322,331,"H2",0.061,0.061,0.028,45.1,0.028
"g3",323,331,"H2",0.095,0.095,0.045,47.1,0.045
"g3",324,331,"H2",0.127,0.103,0.041,39.8,0.051
"g3",325,331,"H2",0.154,0.125,0.05,40.2,0.062
"g3",326,331,"H2",0.074,0.106,0.05,47.4,0.035
"g3",327,331,"H2",0.091,0.121,0.054,44.8,0.041
"g3",328,331,"H2",0.03,0.101,0.042,41.7,0.013
"g3",329,331,"H2",0.13,0.129,0.052,40.3,0.052
"g3",330,331,"H2",0.104,0.109,0.043,39.1,0.041
"g3",331,331,"H2",0.137,0.166,0.07,42.4,0.058
"g3",332,331,"H2",0.096,0.119,0.054,45.3,0.044
"g3",333,331,"H2",0.045,0.096,0.044,46.2,0.021
"g3",334,331,"H2",0.124,0.141,0.063,44.4,0.055
"g3",335,331,"H2",0.054,0.126,0.056,44.6,0.024
"g3",336,331,"H2",0.041,0.104,0.05,48.1,0.02
"g3",337,331,"H2",0.082,0.12,0.054,45.4,0.037
"g3",338,331,"H2",0.043,0.12,0.047,39.2,0.017
"g3",339,331,"H2",0.058,0.128,0.05,38.7,0.022
"g3",340,331,"H2",0.082,0.133,0.049,37.2,0.031
"g4",401,331,"H1",4.07,0.392,0.057,14.54,0.592
"g4",402,331,"H1",3.158,0.381,0.064,16.85,0.532
"g4",403,331,"H1",3.902,0.292,0.044,14.9,0.581
"g4",404,331,"H1",3.099,0.301,0.047,15.65,0.485
"g4",405,331,"H1",2.954,0.318,0.05,15.75,0.465
"g4",406,331,"H1",3.382,0.321,0.05,15.61,0.528
"g4",407,331,"H1",2.939,0.342,0.054,15.7,0.461
"g4",408,331,"H1",3.333,0.352,0.049,13.92,0.464
"g4",409,331,"H1",3.304,0.333,0.045,13.63,0.45
"g4",410,331,"H1",2.878,0.319,0.047,14.58,0.42
"g4",411,331,"H1",2.85,0.307,0.047,15.37,0.438
"g4",412,331,"H1",3.826,0.312,0.051,16.31,0.624
"g4",413,331,"H1",2.833,0.342,0.057,16.67,0.472
"g4",414,331,"H1",2.846,0.318,0.047,14.91,0.424
"g4",415,331,"H1",2.483,0.332,0.054,16.14,0.401
"g4",416,331,"H1",2.498,0.342,0.065,19.01,0.475
"g4",417,331,"H1",2.715,0.324,0.057,17.72,0.481
"g4",418,331,"H1",3.165,0.311,0.054,17.4,0.551
"g4",419,331,"H1",2.388,0.319,0.062,19.31,0.461
"g4",420,331,"H1",2.239,0.334,0.054,16.05,0.359
"g4",421,331,"H2",0.273,0.122,0.027,22.29,0.061
"g4",422,331,"H2",0.194,0.912,0.203,22.28,0.043
"g4",423,331,"H2",0.559,0.349,0.059,16.98,0.095
"g4",424,331,"H2",0.333,0.146,0.031,21.03,0.07
"g4",425,331,"H2",0.139,0.069,0.019,27.1,0.038
"g4",426,331,"H2",0.296,0.171,0.035,20.74,0.061
"g4",427,331,"H2",0.648,0.306,0.051,16.56,0.107
"g4",428,331,"H2",0.183,0.092,0.023,24.75,0.045
"g4",429,331,"H2",0.231,0.118,0.025,21.6,0.05
"g4",430,331,"H2",0.201,0.101,0.023,23.13,0.046
"g4",431,331,"H2",0.214,0.117,0.025,21.39,0.046
"g4",432,331,"H2",0.428,0.181,0.035,19.1,0.082
"g4",433,331,"H2",0.218,0.087,0.022,24.98,0.054
"g4",434,331,"H2",0.351,0.139,0.03,21.72,0.076
"g4",435,331,"H2",0.174,0.078,0.016,20.62,0.036
"g4",436,331,"H2",0.183,0.077,0.017,21.64,0.04
"g4",437,331,"H2",0.196,0.093,0.024,25.77,0.051
"g4",438,331,"H2",0.24,0.114,0.033,29.13,0.07
"g4",439,331,"H2",0.163,0.092,0.024,25.67,0.042
"g4",440,331,"H2",0.228,0.107,0.026,24.65,0.056
"g4",441,331,"H3",0.039,0.052,0.024,45.42,0.018
"g4",442,331,"H3",0.081,0.062,0.031,49.31,0.04
"g4",443,331,"H3",0.437,0.136,0.047,34.4,0.15
"g4",444,331,"H3",0.147,0.09,0.043,47.62,0.07
"g4",445,331,"H3",0.16,0.154,0.049,31.57,0.05
"g4",446,331,"H3",0.239,0.123,0.044,35.57,0.085
"g4",447,331,"H3",0.347,0.143,0.043,30.49,0.106
"g4",448,331,"H3",0.208,0.1,0.039,38.86,0.081
"g4",449,331,"H3",0.344,0.15,0.056,37.58,0.129
"g4",450,331,"H3",0.091,0.104,0.041,39.43,0.036
"g4",451,331,"H3",0.176,0.124,0.047,37.44,0.066
"g4",452,331,"H3",0.196,0.189,0.049,25.81,0.051
"g4",453,331,"H3",0.203,0.109,0.041,37.37,0.076
"g4",454,331,"H3",0.174,0.103,0.04,38.89,0.068
"g4",455,331,"H3",0.313,0.128,0.041,32.12,0.1
"g4",456,331,"H3",0.048,0.1,0.047,47.19,0.023
"g4",457,331,"H3",0.057,0.092,0.036,39.27,0.022
"g4",458,331,"H3",0.043,0.095,0.03,31.77,0.014
"g4",459,331,"H3",0.035,0.083,0.035,42.31,0.015
"g4",460,331,"H3",0.069,0.079,0.038,48.94,0.034
