"field_id","fp_id","harvest","PAN","lab_no","doy","fb","fb_sample","db_sample","db_p","db","logdb","n","c","cn_ratio","adf","source",".partitions","pls_n_pred","pls_adf_pred","rf_n_pred","rf_adf_pred","gp_n_pred","gp_adf_pred","svm_n_pred","svm_adf_pred"
"g1","104","H1",27.7936,331,"194",0.41,0.084,0.029,34.02,0.139,-1.97328134585145,1.234998345,45.2730751,36.65840912,31.3315,"Witzenhausen","2",1.3188340069905,30.7372205722001,1.43662304503553,32.1915758625777,1.44370748526495,32.0631429619441,1.23855826555636,30.9979753973833
"g1","113","H1",23.7405,331,"194",0.52,0.19,0.078,41.18,0.214,-1.54177926396029,1.251929283,44.4343338,35.49268723,36.908,"Witzenhausen","2",1.35848500796174,33.1178767147525,1.37496539274533,32.928581299084,1.42649642503199,32.5436792297469,1.45838507316771,33.8536858525616
"g1","114","H1",23.0935,331,"194",0.437,0.131,0.047,35.96,0.157,-1.85150947363383,1.380014062,45.0025177,32.61018753,37.394,"Witzenhausen","2",1.13114660923871,34.3762339173965,1.35893170000433,33.444540761273,1.47685684318707,32.7301758099031,1.5039673524833,34.0068522026088
"g1","119","H1",22.9857,331,"194",0.708,0.154,0.049,31.55,0.223,-1.50058350752202,1.619182467,45.16464233,27.89348602,37.5385,"Witzenhausen","2",1.34564488978046,33.656692440282,1.4563639293549,32.8658433095237,1.51990569522666,32.2053770794741,1.44977035774209,34.9061364543433
"g2","211","H1",23.9187,331,"195",0.031,0.009,0.005,55.89,0.017,-4.07454193492592,1.231228948,45.16823959,36.68549347,34.6395,"Witzenhausen","2",1.31341419597938,33.8105588206007,1.53836402885427,32.419504570856,1.63141241794249,31.9127962251417,1.61230639686992,31.7920370013044
"g2","214","H1",24.4029,331,"195",0.046,0.024,0.011,46.79,0.022,-3.81671282562382,1.295568943,46.2305603,35.68359756,37.722,"Witzenhausen","2",1.11053390005531,34.537022857726,1.2031805708603,34.310421276425,1.18868012494944,35.3033832752962,1.07921289254992,35.9657119141289
"g2","216","H1",27.3598,331,"195",0.055,0.021,0.01,49.76,0.027,-3.61191841297781,1.15691328,45.89774323,39.67258835,32.517,"Witzenhausen","2",1.25556383271133,32.6635680119129,1.3073553442225,33.4269715738493,1.30480291954586,33.2469346605505,1.12758793195881,33.9564574295188
"g2","218","H1",27.0097,331,"195",0.104,0.056,0.029,51.14,0.053,-2.93746336543002,1.2836833,45.3507576,35.3286171,31.05,"Witzenhausen","2",1.06610228210801,32.8204702104401,1.30323535697497,33.24578904769,1.34018268432184,33.3246216173968,1.30179758154886,33.0347522842948
"g3","307","H1",27.1653,331,"148",0.836,0.327,0.096,29.46,0.246,-1.40242374304977,1.623634338,43.70035172,26.91514397,29.538,"Witzenhausen","2",2.08309068142674,28.6099891437625,2.28178850274047,28.4053377075903,2.30275539287666,28.4360095245034,2.20401672737789,28.7763334568448
"g3","314","H1",24.1023,331,"148",0.809,0.383,0.125,32.7,0.265,-1.32802545299591,1.461565256,44.95170593,30.755867,31.63,"Witzenhausen","2",2.16299550045108,30.0020505448643,1.4635224699166,31.2700442482776,1.38460912360686,31.862095518062,1.16053431684101,33.6643002333769
"g3","316","H1",24.5517,331,"148",0.561,0.277,0.093,33.75,0.189,-1.66600826392249,1.484174013,44.84409332,30.21484947,30.712,"Witzenhausen","2",2.10699054638945,28.4254733707913,1.4709726043258,31.4927755611606,1.41061746417907,31.6350964739435,1.17012213389512,33.3186632814479
"g3","324","H2",62.4982,331,"267",0.127,0.103,0.041,39.8,0.051,-2.97592964625781,1.875601172,45.84749603,24.44416046,27.5895,"Witzenhausen","2",1.67221893662238,31.1978842867194,1.43462788231354,32.205757591211,1.59312869479326,32.154567840011,1.71616307538826,31.746376936186
"g3","325","H2",61.3812,331,"267",0.154,0.125,0.05,40.2,0.062,-2.78062089393705,1.939027905,45.77114105,23.60519981,29.714,"Witzenhausen","2",1.66845668729955,29.754642681608,1.4339337802325,32.3159339221607,1.55430546779062,32.0918162265588,1.55615543562105,32.9039777114686
"g3","329","H2",56.5271,331,"267",0.13,0.129,0.052,40.3,0.052,-2.95651156040071,1.52667141,45.64861679,29.9007473,35.108,"Witzenhausen","2",1.73275016139272,31.7637737017456,1.31755385370603,32.8689935776164,1.45108840249096,33.1827070206407,1.57500175806486,32.4307365700177
"g3","339","H2",43.9129,331,"267",0.058,0.128,0.05,38.7,0.022,-3.81671282562382,1.823959947,45.21144104,24.78751945,28.844,"Witzenhausen","2",1.94664250413435,30.0683967947403,1.74340558415253,30.6619544805451,1.76279202322618,30.6881243436953,1.68893667152016,30.8749709634044
"g4","402","H1",38.4083,331,"130",3.158,0.381,0.064,16.85,0.532,-0.631111789640493,2.506144762,44.63055038,17.80844879,26.9425,"Witzenhausen","2",2.56377012156609,28.1449982317415,2.67852759660533,28.247814020766,2.68254975905056,28.8308869272235,2.88477973615707,28.8743511305964
"g4","410","H1",44.9813,331,"130",2.878,0.319,0.047,14.58,0.42,-0.867500567704723,3.10284543,43.5720787,14.04261971,25.939,"Witzenhausen","2",2.46939116277929,27.7824565857169,2.53795939491063,28.4525559472107,2.53955055526621,27.992898525188,2.53942229779966,27.5971395865908
"g4","414","H1",38.867,331,"130",2.846,0.318,0.047,14.91,0.424,-0.858021823750179,3.184030533,44.00911331,13.82182503,27.3645,"Witzenhausen","2",2.36301708431654,29.3392741203302,2.5561588472399,28.7499627531787,2.47952128924841,29.0110524095336,2.58093211729259,29.047730030614
"g4","415","H1",37.1689,331,"130",2.483,0.332,0.054,16.14,0.401,-0.913793851675568,2.703672409,43.57884979,16.11839104,24.6965,"Witzenhausen","2",2.38189025898305,28.8401902051868,2.46201528887007,29.0836949507527,2.49070681741455,29.7947676612793,2.66791899120859,28.9758115914103
"g4","432","H2",21.212,331,"157",0.428,0.181,0.035,19.1,0.082,-2.50103603171788,2.995976686,44.45711899,14.83894062,23.1365,"Witzenhausen","2",2.09571292981712,28.5113130259566,2.69878457848997,26.3006084259737,2.58956294424799,26.6685044096537,2.66245070569267,26.246083239573
"g4","433","H2",19.2938,331,"157",0.218,0.087,0.022,24.98,0.054,-2.91877123241786,3.185436249,45.26018524,14.20847321,23.9315,"Witzenhausen","2",2.16882073093955,29.0194177893657,2.29801575694993,29.0161729619733,2.58404668509221,28.1895468157986,2.86869278057574,27.7507040875816
"g4","436","H2",21.5681,331,"157",0.183,0.077,0.017,21.64,0.04,-3.2188758248682,2.897405863,45.1267395,15.57487679,23.825,"Witzenhausen","2",2.08052786085876,29.9622063434772,2.22424552565413,29.444321950147,2.06284062047887,29.1976814727698,2.39622200944551,26.9783643237308
"g4","438","H2",20.8135,331,"157",0.24,0.114,0.033,29.13,0.07,-2.65926003693278,2.867511272,45.07023239,15.7175436,30.5035,"Witzenhausen","2",2.46689261642406,27.8360832142597,2.6870714833337,28.7715497514067,2.46295798001493,28.4171462072623,2.78621375947993,26.4589308537213
"g4","445","H3",14.3234,331,"213",0.16,0.154,0.049,31.57,0.05,-2.99573227355399,1.997111678,44.43087387,22.24756622,28.628,"Witzenhausen","2",2.24686433555855,29.4613161641136,1.78651565259884,30.582137741093,1.80949192020653,30.6460395854179,1.78081145915718,30.5546498686192
"g4","447","H3",13.7997,331,"213",0.347,0.143,0.043,30.49,0.106,-2.24431618487007,1.945725441,44.87891006,23.06538773,30.712,"Witzenhausen","2",1.87919983763564,32.188861173262,1.7196481469634,31.138633455925,1.58247090507922,31.1520920918235,1.56859384707285,31.0118363873636
"g4","449","H3",13.7949,331,"213",0.344,0.15,0.056,37.58,0.129,-2.04794287462046,1.543610811,44.27442932,28.68237877,29.4525,"Witzenhausen","2",2.03210067676735,29.0695943151005,1.58169166488313,32.5130976472613,1.74453619192747,31.3057828959507,1.87523702157597,31.5607905493926
"g4","453","H3",18.7707,331,"213",0.203,0.109,0.041,37.37,0.076,-2.57702193869581,1.820637465,44.97596359,24.70341492,28.406,"Witzenhausen","2",2.1173918323788,30.1594109580688,1.74178902699257,30.322890017545,1.67090520069527,30.6731631546981,1.70183227817683,30.1494202057653
"BG","A05","H1",65.49271367,340,"166",0.264333333,58,21.90333333,38.81763333,0.0989,-2.31364604035347,1.4639,44.3445,30.2920281439989,33.0177,"Rhön","2",1.70067111910051,30.6711011781829,1.53274835161973,30.6552726532466,1.52269844525907,31.5039453694525,1.57884861590923,31.6943664089159
"BG","A06","H2",69.6562536566667,340,"178",0.111,56.2,23.95666667,43.35863333,0.0469,-3.0597376035299,1.326,43.567,32.8559577677225,33.4883,"Rhön","2",1.56210961565873,32.495272102934,1.33315740665647,32.1024650329786,1.83234009023077,30.780324273571,1.45726635149764,32.4460794168594
"BG","A07","H2",67.65226602,340,"178",0.071,41.13333333,19.48,47.5224,0.0336,-3.39322921201298,1.2314,43.8318,35.5950950138054,33.6144,"Rhön","2",1.53677294494405,32.1978231211111,1.34831084545643,31.830677980533,1.75652191976215,30.8051300354803,1.64084941257131,30.43271620251
"BGL","B09","H2",63.5274729133333,340,"178",1.347333333,368.4,95.36,28.92895204,0.3902,-0.941095850793126,1.65859824,43.06298989,25.963484616986,31.97867779,"Rhön","2",1.89117617198965,30.3310751720422,1.5061229532939,31.0391967259413,1.84897181466488,30.5004317358319,1.68046292756873,31.40881576769
"BGL","B14","H3",31.33235775,340,"192",0.677933333,156.3333333,57.84,37.6378979,0.253133333,-1.37383892116937,1.209570043,42.34881069,35.0114579433247,29.32335764,"Rhön","2",1.26296851302261,32.6920161924197,1.3265975214587,32.3531910317013,1.2761863103444,32.477865061735,1.20464481211818,32.4564883436495
"BGL","B15","H3",30.50914718,340,"192",0.833133333,208.2666667,71.03666667,35.12526079,0.284133333,-1.25831166859894,1.273332874,42.4829221,33.3635634227724,31.60896715,"Rhön","2",1.17521279543109,33.0650089832723,1.31503462686403,32.3574859675133,1.28716852083773,32.2145016868925,1.17082717701746,32.3411648889354
"GH","C01","H1",32.3216810933333,340,"166",1.093333333,139,38.21,27.50976667,0.2995,-1.20564086142663,1.3657,43.1018,31.5602255253716,34.0854,"Rhön","2",1.84353047932898,30.1356627553698,1.8374924432126,30.1966543140376,1.66985206601505,30.9751381471922,1.43440279128868,33.2874831153258
"GH","C03","H1",73.7973808933333,340,"166",1.263,164.6666667,44.44333333,26.95623333,0.340466667,-1.07743805245765,1.2779,43.1951,33.8016276703967,32.8416,"Rhön","2",1.82948870202095,30.537425445795,1.42623138254857,32.629172825643,1.44712489387631,32.2298852793342,1.36643308788625,32.1497631236326
"GH","C15","H3",45.1750079,340,"192",1.1026,188.9333333,61.01333333,32.5526,0.3565,-1.03142103912779,0.9731,43.0522,44.2423183639914,36.6214,"Rhön","2",1.4403656163362,32.5780570247105,1.29257188801633,32.3813904481697,1.54829620910537,32.2158390539736,1.52994767358661,32.5360581084151
"GHL","D05","H1",112.3226951,340,"166",1.409,328.6666667,67.78666667,22.59658006,0.318633333,-1.14371426362666,1.991468215,43.36111265,21.7734394771648,29.47686661,"Rhön","2",2.52556493664562,26.2566274976995,1.84880726544343,30.2331697404243,1.80403795429543,30.4845245626939,1.96808561871661,27.8751655775753
"GHL","D06","H2",57.6469730533333,340,"178",0.4444,98.8,34.06,34.77847818,0.153233333,-1.8757934670134,1.3844,43.0757,31.115067899451,30.2434,"Rhön","2",1.67282197761758,30.5647604983359,1.48105586527363,31.6906882714043,1.49761722957825,31.4704660782568,1.22601682165081,32.1461118395867
"GHL","D10","H2",62.0711473133333,340,"178",1.051666667,298.6666667,83.05666667,31.32548457,0.3265,-1.11932533026565,1.650502297,43.19684862,26.1719409288408,29.88724302,"Rhön","2",1.95254042727836,29.3658534579591,1.49417364586793,31.3911320382,1.51239813358482,31.2613099401464,1.37760042047399,31.0584086535666
